Bmod_probe,Bmod_std_probe,Bx_probe,Bx_std_probe,By_probe,By_std_probe,Bz_probe,Bz_std_probe,current_x_coil,current_y_coil,current_z_coil,Bmod_linear,slope,intercept
0.23228849147344913,6.558767302068799e-05,-0.006700581395348848,3.879423282702457e-05,0.014603405315614578,6.878748226429128e-05,0.23173214285714194,-6.789082181492701e-05,300.79,0.0,0.0,0.2318780229245901,0.0007826239771925043,-0.0035274431751433
0.2453282533882721,-0.00011797184010387592,0.008141611295681112,0.0002883309359190357,0.014616694352159423,8.087358250023161e-05,0.24475705980066403,-0.00022722586576170425,320.77,0.0,0.0,0.24751484998889628,0.0007826239771925043,-0.0035274431751433
0.2626270982314801,-7.919936627843885e-05,0.0073351328903653035,-5.222458889776217e-05,0.017263704318936847,0.00019762905045104867,0.26195639534883763,-0.00014634642819511554,340.55,0.0,0.0,0.26299515225776404,0.0007826239771925043,-0.0035274431751433
0.27696746926956245,8.994080210771331e-05,0.003483803986711026,0.00016417923360185832,0.016453073089700954,7.529643612073141e-05,0.27645639534883826,-0.00011702651088460036,360.93,0.0,0.0,0.27894502891294726,0.0007826239771925043,-0.0035274431751433
0.2906999768688494,4.21935042389898e-05,0.004311046511628086,0.0004137423982926414,0.017512873754152787,2.5171431132038104e-05,0.29013995016611427,-0.00013640138058084155,380.41,0.0,0.0,0.2941905439886573,0.0007826239771925043,-0.0035274431751433
0.30745803334436855,9.743202662461023e-05,0.002690614617940401,0.00011861423377117946,0.017245431893687668,0.00010671984745114823,0.3069622093023256,-3.787428862764763e-05,400.72,0.0,0.0,0.31008563696543706,0.0007826239771925043,-0.0035274431751433
0.32559868577040596,0.0002180162951702421,0.0018068936877077002,0.00028896335412664353,0.019046096345514914,7.996253546739595e-05,0.32503612956810546,2.3486313185980268e-05,420.25,0.0,0.0,0.3253702832400066,0.0007826239771925043,-0.0035274431751433
0.3451208118912331,0.00023760569952995013,-0.0007819767441860914,0.00021179941369107481,0.020150747508305606,3.0306701465824138e-05,0.3445311461794013,0.0001306070740357962,440.36,0.0,0.0,0.3411088514213479,0.0007826239771925043,-0.0035274431751433
0.35570013525523386,0.00020966573280288862,-0.010338455149501546,8.945262036909101e-05,0.020776993355481686,4.257119316104525e-05,0.35494227574750753,8.320041100659493e-05,460.86,0.0,0.0,0.35715264295379423,0.0007826239771925043,-0.0035274431751433
0.37346460140541754,-2.6865882804479307e-05,-0.003980481727574758,9.289432915062868e-05,0.019657392026578027,8.447493460574758e-05,0.37292566445182784,-0.0001573210402086682,480.86,0.0,0.0,0.3728051224976443,0.0007826239771925043,-0.0035274431751433
0.3898868295525277,2.9949105857122148e-05,-0.0018450996677741027,-3.9886215108097395e-06,0.021986295681063077,0.00010998350757503552,0.3892620431893695,-0.00010942958286756527,500.91,0.0,0.0,0.38849673324035405,0.0007826239771925043,-0.0035274431751433
